entity,code,province_code,name,type,is_active,created_at,updated_at
Province,01,,Thành phố Hà Nội,City,true,2026-01-01T00:00:00+00:00,2026-01-01T00:00:00+00:00
Province,04,,Tỉnh Cao Bằng,Province,true,2026-01-01T00:00:00+00:00,2026-01-01T00:00:00+00:00
Province,08,,Tỉnh Tuyên Quang,Province,true,2026-01-01T00:00:00+00:00,2026-01-01T00:00:00+00:00
Province,11,,Tỉnh Điện Biên,Province,true,2026-01-01T00:00:00+00:00,2026-01-01T00:00:00+00:00
Province,12,,Tỉnh Lai Châu,Province,true,2026-01-01T00:00:00+00:00,2026-01-01T00:00:00+00:00
Province,14,,Tỉnh Sơn La,Province,true,2026-01-01T00:00:00+00:00,2026-01-01T00:00:00+00:00
Province,15,,Tỉnh Lào Cai,Province,true,2026-01-01T00:00:00+00:00,2026-01-01T00:00:00+00:00
Province,19,,Tỉnh Thái Nguyên,Province,true,2026-01-01T00:00:00+00:00,2026-01-01T00:00:00+00:00
Province,20,,Tỉnh Lạng Sơn,Province,true,2026-01-01T00:00:00+00:00,2026-01-01T00:00:00+00:00
Province,22,,Tỉnh Quảng Ninh,Province,true,2026-01-01T00:00:00+00:00,2026-01-01T00:00:00+00:00
Province,24,,Tỉnh Bắc Ninh,Province,true,2026-01-01T00:00:00+00:00,2026-01-01T00:00:00+00:00
Province,25,,Tỉnh Phú Thọ,Province,true,2026-01-01T00:00:00+00:00,2026-01-01T00:00:00+00:00
Province,31,,Thành phố Hải Phòng,City,true,2026-01-01T00:00:00+00:00,2026-01-01T00:00:00+00:00
Province,33,,Tỉnh Hưng Yên,Province,true,2026-01-01T00:00:00+00:00,2026-01-01T00:00:00+00:00
Province,37,,Tỉnh Ninh Bình,Province,true,2026-01-01T00:00:00+00:00,2026-01-01T00:00:00+00:00
Province,38,,Tỉnh Thanh Hoá,Province,true,2026-01-01T00:00:00+00:00,2026-01-01T00:00:00+00:00
Province,40,,Tỉnh Nghệ An,Province,true,2026-01-01T00:00:00+00:00,2026-01-01T00:00:00+00:00
